communityName,Type,BfZ,KP,all2019,ind2019,sheltInd2019,unsheltInd2019,chind2019
Ohio Balance of State CoC,Largely Rural CoC,,,3479,2102,1392,710,281
Oklahoma Balance of State CoC,Largely Rural CoC,,,279,225,84,141,73
Oklahoma City CoC,Major City CoC,,,1273,1065,692,373,255
"Omaha, Council Bluffs CoC",Major City CoC,,,1410,1130,1084,46,321
"Orlando/Orange, Osceola, Seminole Counties CoC",Largely Suburban CoC,,,2010,1265,932,333,353
"Overland Park, Shawnee/Johnson County CoC",Largely Suburban CoC,,,189,109,70,39,29
"Oxnard, San Buenaventura/Ventura County CoC",Other Largely Urban CoC,,,1669,1472,232,1240,318
"Palm Bay, Melbourne/Brevard County CoC",Largely Suburban CoC,,,815,604,230,374,195
"Panama City/Bay, Jackson Counties CoC",Largely Rural CoC,,,488,454,116,338,34
Pasadena CoC,Other Largely Urban CoC,,,542,465,144,321,264
Pasco County CoC,Largely Suburban CoC,,,894,685,74,611,186
Paterson/Passaic County CoC,Largely Suburban CoC,,,391,287,170,117,91
"Pensacola/Escambia, Santa Rosa Counties CoC",Largely Suburban CoC,,,518,473,304,169,47
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Largely Suburban CoC,,,285,205,194,11,45
Philadelphia CoC,Major City CoC,,,5735,3752,2779,973,1264
Phoenix/Mesa/Maricopa County Regional CoC,Major City CoC,x,,6614,4948,1763,3185,906
Pikes Peak CoC,Major City CoC,x,x,1562,1127,718,409,317
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Largely Suburban CoC,,,774,536,488,48,102
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Largely Suburban CoC,,,546,362,328,34,48
Placer County,Largely Suburban CoC,x,,617,493,202,291,216
Pontiac/Royal Oak/Oakland County CoC,Largely Suburban CoC,x,,425,247,219,28,41
"Portage, Kalamazoo City & County CoC",Other Largely Urban CoC,,,702,440,284,156,76
"Portland, Gresham/Multnomah County CoC",Major City CoC,,,4015,3698,1673,2025,1763
Portsmouth CoC,Other Largely Urban CoC,,,119,80,69,11,8
Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,,,533,269,259,10,23
Prince George's County CoC,Largely Suburban CoC,,,447,200,127,73,44
Prince William County CoC,Largely Suburban CoC,,,280,117,80,37,19
Provo/Mountainland CoC,Largely Suburban CoC,x,,161,113,49,64,22
Puerto Rico Balance of Commonwealth CoC,Largely Suburban CoC,,,1345,1202,320,882,361
Punta Gorda/Charlotte County CoC,Largely Suburban CoC,,,156,131,64,67,48
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Largely Suburban CoC,,,1088,383,370,13,132
Racine City & County CoC,Largely Suburban CoC,,,200,148,136,12,10
Raleigh/Wake County CoC,Major City CoC,,,970,680,462,218,115
Reading/Berks County CoC,Largely Suburban CoC,,,597,455,445,10,35
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,,,1349,1144,363,781,304
"Reno, Sparks/Washoe County CoC",Other Largely Urban CoC,x,,1256,1101,875,226,74
Rhode Island Statewide CoC,Largely Suburban CoC,,,1055,730,663,67,176
Richmond/Contra Costa County CoC,Largely Suburban CoC,x,x,2295,1976,477,1499,454
"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Largely Suburban CoC,x,,497,382,217,165,74
Riverside City & County CoC,Largely Suburban CoC,x,x,2811,2522,490,2032,786
Roanoke City & County/Salem CoC,Largely Suburban CoC,x,,319,244,229,15,56
"Rochester, Irondequoit, Greece/Monroe County CoC",Largely Suburban CoC,,,849,606,571,35,86
Rochester/Southeast Minnesota CoC,Largely Rural CoC,,,452,210,168,42,38
"Rock Island, Moline/Northwestern Illinois CoC",Largely Rural CoC,,,211,137,127,10,2
"Rockford/Winnebago, Boone Counties CoC",Largely Suburban CoC,x,,403,257,212,45,28
Rockland County CoC,Largely Suburban CoC,,,182,145,102,43,36
Sacramento City & County CoC,Major City CoC,x,x,5561,4429,1096,3333,1412
Saginaw City & County CoC,Largely Suburban CoC,,,364,186,174,12,16
Saint Johns County CoC,Largely Suburban CoC,x,,356,236,52,184,14
Saint Paul/Ramsey County CoC,Other Largely Urban CoC,,,1579,1002,752,250,376
Salem County CoC,Largely Suburban CoC,,,29,8,8,0,1
"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,,,2704,2037,342,1695,614
Salt Lake City & County CoC,Largely Suburban CoC,,,1844,1318,1125,193,367
San Antonio/Bexar County CoC,Major City CoC,,,2872,2066,887,1179,330
San Bernardino City & County CoC,Largely Suburban CoC,,,2607,2119,286,1833,723
San Diego City and County CoC,Major City CoC,,x,8102,6683,2425,4258,1583
San Francisco CoC,Major City CoC,,,8035,7404,2250,5154,2855
